#Number of observations
320  
  
#Y1 Y2 Delt
75 105 5.77534
74 101 5.8
60 67 2.86575
62 83 3.79452
85 110 3.06575
70 73 1.93151
92 96 3.39726
126 136 4.00822
53 67 2.72603
83 90 1.76986
70 81 4.39452
68 89 3.76438
67 66 4.78904
89 95 2.78904
81 81 0.01918
68 82 6.7589
73 72 0.78082
56 60 1.84384
60 66 4.9589
83 87 0.80548
83 79 0.44384
131 145 3.01096
83 106 5.00274
88 107 2.27397
77 80 0.49863
71 93 5.79178
65 65 1.95342
95 117 2.34521
71 86 4.85753
75 85 2.01096
72 79 1.81918
64 80 3.76438
74 100 5.78356
73 87 1.94521
133 131 2.26575
73 72 1.72877
71 115 6.7726
51 68 3.22466
68 80 4.89863
85 96 1.76164
77 81 4.65753
69 125 4.77534
72 111 4.76164
77 85 0.79178
63 89 2.87123
76 91 3.8274
101 103 2.78082
84 96 4.76712
80 87 1.75342
93 112 3.76986
67 71 1.93151
83 99 2.85753
81 83 0.76986
60 63 2.01096
107 111 2.63562
70 85 5.79452
80 84 1
78 117 6.65753
75 81 5.03836
92 104 2.2137
55 59 2.72603
61 68 1.27945
54 67 2.07397
109 104 0.67671
76 89 3.86575
92 90 0.40548
67 79 4.84384
57 73 4.88219
88 93 2.35068
75 86 3.88219
83 111 4.77534
60 86 4.8411
52 55 1.03562
80 111 3.78356
66 77 3.67945
81 95 1.77808
68 78 6.06849
87 93 1.80822
81 85 0.76712
66 107 5.79726
56 69 1.94247
59 94 6.06575
70 78 2.87671
99 108 1.72055
75 93 3.86849
77 89 2.86027
87 89 0.47397
52 53 0.89863
54 54 0.14247
81 91 1.90137
72 75 0.66849
50 62 5.77534
81 89 0.95068
72 117 5.79726
127 136 5.28767
74 87 2.89041
101 100 0.88493
53 55 0.81644
85 85 0.5726
52 55 0.23014
60 76 7.13699
51 66 2.86027
60 67 1.13425
88 97 5.7863
78 82 2.88493
75 119 3.79178
88 98 4.83014
88 92 0.78082
65 78 5.7863
78 83 2.00822
69 79 9.86301
73 80 3.78904
71 76 0.88219
91 95 0.80822
56 53 4.1863
67 79 3.86849
74 91 2.77534
74 94 6.05205
109 113 1.75068
84 97 2.87123
66 64 3.72877
80 88 2.85753
79 88 3.84932
42 83 6.06849
49 73 6.06849
96 104 0.79452
82 84 1.83014
64 66 0.23288
61 70 1.77534
84 88 0.78356
99 100 3.86575
83 102 1.84932
76 87 1.83836
68 88 3.87123
59 63 2.75342
92 103 4.73425
84 113 5.7863
73 81 3.78082
72 73 1.19726
94 100 1.79452
130 138 4.29315
88 92 2.76986
72 82 6.07123
80 84 1.85479
118 129 1.29315
75 78 3.66849
78 82 2.74247
82 88 4.9863
101 121 4.85479
77 87 3.39726
81 92 2.77808
74 94 5.80274
57 65 3.89315
56 65 1.7863
66 70 4.89315
58 67 2
67 86 1.7726
57 57 0.02192
118 126 2.79452
82 84 0.76712
92 90 0.75616
59 69 2.16164
81 109 5.69589
65 88 5.77808
77 92 3.67123
79 84 3.79452
76 98 1.71233
86 86 2.07123
74 90 5.78356
74 68 0.77534
81 90 2.76438
65 78 5.06849
66 79 1.8137
72 85 3.7863
67 77 5.92329
65 126 10.6
72 106 7.78904
65 79 2.87123
49 53 1.93425
66 72 2.09315
61 88 4.89863
146 135 1.77534
55 79 3.7726
88 106 5.78356
57 82 7.73151
77 87 4.89589
105 114 1.76164
82 84 0.79726
84 85 1.83836
74 91 4.89315
75 100 2.73699
